query,schema,sql,model_response
وضعیت مرکز نگهداری سیرجان چیه؟,INV,"SELECT STATE
FROM plant
WHERE title = ‘سیرجان’","```sql
SELECT * FROM VOUCHER_REF WHERE ROW_TITLE = 'کالاهای حسابداری' AND (QUANTITY IS NULL OR QUANTITY = 0);
```"
شعبه مرتبط با مرکز نگهداری قزوین کدومه؟,INV,"SELECT TOP (1) branch_title
FROM plant
WHERE title LIKE '%قزوین%'","```sql
SELECT * FROM VOUCHER_TYPE WHERE ID = '...' AND (SECOND_UNIT_TYPE = '...' OR SECOND_UNIT_TYPE IS NULL);
```"
"کد مرکز نگهداری ""سیرجان"" تو سیستم چی تعریف شده؟",INV,"SELECT Code
FROM branch_title
WHERE title LIKE '%سیرجان%'
","```sql
SELECT * FROM PLANT_VOUCHER WHERE ID = 'سیرجان';
```"
مرکز نگهداری های غیرفعال تو سیستم چی ها هستن؟,INV,"SELECT Code
FROM branch_title
WHERE STATE = ‘غیرفعال’
","```sql
SELECT * FROM UNIT WHERE STATE = 'غیر فعال';
```"
نوع انبار 001 چی هست؟,INV,"SELECT storage_Type_Title
FROM Store
WHERE Code = ‘001’","```sql
SELECT * FROM PLANT_C
WHERE ID = '001';
```"
انبار محصول سیرجان، تو سیتسم با چه نوعی تعریف شده؟,INV,"SELECT storage_Type_Title
FROM store
WHERE title LIKE ‘%محصول سیرجان%’","```sql
SELECT *
FROM ""UNIT""
WHERE ""STATE"" = 'تامین' OR ""STATE"" = 'بایعات' ;
```"
وضعیت انبار محصول سیرجان چیه؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%محصول سیرجان%’
","```sql
SELECT * FROM PLANT_VOUCHER WHERE PRODUCTION_ORGANIZATION = 'شركت' OR  TEMP_VOUCHER_ID IS NULL;


```"
انبار مواد اولیه تولید الان فعاله؟,INV,"SELECT state
FROM store
WHERE title LIKE ‘%مواد اولیه تولید%’
","```sql
SELECT * FROM PLANT WHERE STORAGE_TYPE = 'موجودی -  تامین کننده';
```"
آخرین کدی که برای انبار با نوع محصول تو سیستم تعریف شده چی هست؟,INV,"SELECT TOP (1) Code
FROM store
WHERE storage_Type_Title LIKE ‘%محصول%’
ORDER BY id DESC
","```sql
SELECT t.LICENSE_PLATE_NO
FROM STORE_VOUCHER_REF
WHERE (t.PLANT_NAME = 'ثبت شده' OR t.CUSTOMER_TITLE = 'ثبت شده') AND t.QUANTITY > 0;

```"
عنوان انبار RAW_01 چیه؟,INV,"SELECT Title
FROM Store
WHERE code = ‘RAW_01’
","```sql
SELECT * FROM PLANT WHERE CODE = 'PLANT_REF';
```"
انبار ضایعات تولید با کد 002 تو کدوم مرکز نگهداری تعریف شده؟,INV,"SELECT Plant.Title
FROM Store
JOIN Plant ON Plant_Id = Plant.Id
WHERE code = ‘002’
","```sql
SELECT * FROM PLANT WHERE CODE = '002';
```"
انبارهای مرکز نگهداری سیرجان ,INV,"SELECT Title
FROM Store
JOIN Plant ON Store.Plant_id = plant.Id
WHERE plant.title LIKE '%سیرجان%'
","```sql
SELECT * FROM PLANT_REF;
```"
بعد واحد سنجش Kg چیه؟,INV,"SELECT dimension
FROM Unit
WHERE title = ‘kg’
","```sql
SELECT * FROM PLANT_VOUCHER WHERE  (PLANT_TYPE = 'Kg' OR ""TITLE"" = 'INVENTORY_DATA') AND (STATUS = 'ثبت شده' OR STATUS = 'تایید شده');

```"
چه واحدهایی برای بعد وزن تو سیستم تعریف شدن؟,INV,"SELECT title
FROM Unit
WHERE Dimension = ‘وزن’
","```sql
SELECT * FROM PLANT_V;
```"
انواع بعدهای واحد اندازه گیری چی ها هست؟,INV,"SELECT DISTINCT Dimension
FROM unit
","```sql
SELECT * FROM PLANT_TYPE;
```"
بعد واحد کیلوگرم چیه؟,INV,"SELECT dimension
FROM Unit
WHERE title = ‘کیلوگرم’
","```sql
SELECT * FROM VOUCHER_SPECIFICATION WHERE STATE = 'موجود';
```"
کد کالای پنی سیلین 1200 چیه؟,INV,"SELECT Code
FROM part
WHERE title LIKE ‘%پنی سیلین 1200%’
","```sql
SELECT * FROM PLANT_TITLE WHERE ID = 'C' # SELECT * FROM PART_TITLE WHERE CODE = 'PART_ORDER_ID'

```"
عنوان کالای 8143000120 چی هست؟,INV,"SELECT Title
FROM part
WHERE code = ‘8143000120’
","```sql
SELECT T.TITLE FROM PLANT_VOUCHER AS T WHERE T.ID = '814';

```"
واحد سنجش اصلی کالای پنی سیلین 1200,INV,"SELECT major_unit_title
FROM part
WHERE title LIKE '%پنی سیلین 1200%'
","```sql
SELECT * FROM PLANT_TITLE WHERE PLANT_ID = 'پنی سیلین' AND  QUANTITY = 1200;
```"
واحد سنجش دوم پنی سیلین 1200,INV,"SELECT secondary_unit_title
FROM part
WHERE title LIKE '%پنی سیلین 1200%'
","```sql
SELECT * FROM ""PART"" WHERE ""QUANTITY"" = '1200' AND ""PART_ID"" = 'INVENTORY_VOUCHER_TYPE';

```"
طبقه حساب آهن اسفنجی تو سیستم چیه؟,INV,"SELECT part_account_category_title
FROM part
WHERE title LIKE '%آهن اسفنجی%'
","```sql
SELECT * FROM PLANT_REF WHERE ID = (SELECT ID FROM PLANT_REF WHERE PRODUCTION_PLAN_NAME = 'PLAN_CODE');
```"
کالای 8143000120 با چه طبقه حسابی تو سیتسم تعریف شده؟,INV,"SELECT part_account_category_title
FROM part
WHERE Code = ‘8143000120’
","```sql
SELECT * FROM PLANT WHERE QUANTITY = 'INVENTORY_VOUCHER' OR
    SECOND_UNIT_QUANTITY = 'INVENTORY_VOUCHER' OR
    CUSTOMER_TITLE = 'INVENTORY_VOUCHER_NAME';

```"
نوع کالای 8143000120 چیه؟,INV,"SELECT part_type
FROM part
WHERE Code = ‘8143000120’
","```sql
SELECT PART_TYPE FROM PLANT_REFERENCE WHERE ID = 8143000120;
```"
پنی سیلین 1200 نوعش چیه؟,INV,"SELECT part_type
FROM part
WHERE title LIKE '%پنی سیلین 1200%'
","```sql
SELECT
    t.TITLE AS ""Type""
FROM
    PLANT t
WHERE
    t.MOTHERS_ID = 1200;
```"
نوع کارکرد آهن اسفنجی چیه؟,INV,"SELECT part_usage
FROM part
WHERE title LIKE '%آهن اسفنجی%'
","```sql
SELECT
    *
FROM
    MAJOR_CATEGORY_TYPE
    WHERE
    VOUCHER_REF = 'درخواست';
```"
10 تا کالای اول ساختنی که با کد 81405 شروع میشن چی ها هستن؟,INV,"SELECT TOP (1) title
FROM part
WHERE part_usage = ‘ساختنی’
","```sql
SELECT * FROM PLANT_TYPE WHERE ID IN (
    SELECT ID FROM PLANT_VOUCHER
    WHERE SUBSTRING(ID, 1, 4) = '8140'
    LIMIT 10
    );
```"
آخرین کالای غیرموجودی تعریف شده تو سیستم چیه؟,INV,"SELECT TOP (1) title
FROM part
WHERE part_usage = ‘غیرموجودی’
ORDER BY id DESC
","```sql
SELECT * FROM VOUCHER_TITLE WHERE ID = (SELECT MAX(ID) FROM VOUCHER_TYPE);
```"
کد آخرین کالای قابل فروش رو میخوام,INV,"SELECT TOP (1) code
FROM part
WHERE part_usage = ‘قابل فروش’
ORDER BY id DESC
","```sql
SELECT * FROM STORE WHERE ID = (SELECT MAX(ID) FROM STORE);
```"
کارکرد کالای 8143000120 چیه؟,INV,"SELECT part_usage
FROM part
WHERE code = ‘8143000120’
","```sql
SELECT *
FROM PLANT_MASTER
WHERE PART_ID = '814300012';
```"
طبقه حساب کالای آهن اسفنجی رو میخوام,INV,"SELECT part_account_category_title
FROM part
WHERE Title Like ‘%آهن اسفنجی%’
","```sql
SELECT * FROM PLANT WHERE  (MAJOR_QUANTITY = 'آهن' OR MAJOR_QUANTITY = 'توسط') AND (TYPE_OF_VOTYPE = 'ثبت شده' OR TYPE_OF_CARRIER = 'تجهیز')

```"
پیراهن مردانه یقه 7 سایز لارج، تو کدوم طبقه حساب تعریف شده؟,INV,"SELECT part_account_category_title
FROM part
WHERE Title Like ‘%پیراهن مردانه یقه 7 سایز لارج%’
","```sql
SELECT * FROM PLANT WHERE PLANT_REF = '1';
```"
کالای 8143000120 با چه طبقه حسابی تو سیستم تعریف شده؟,INV,"SELECT part_account_category_title
FROM part
WHERE code = ‘8143000120’
","```sql
SELECT *
FROM VOUCHER_ITEM
WHERE ID = '8143000120'
```"
کدوم کالاها واحد سنجش دومشون کارتن 12 تاییه؟,INV,"SELECT TOP (10) Title
FROM part
WHERE secondary_unit_title = ‘کارتن 12 تایی’
","```sql
SELECT * FROM PLANT WHERE  STORAGE_TYPE_TITLE = 'COTTAGE' OR STORAGE_TITLE = 'CARTON';
```"
کد الگوی سند خرید خارجی چیه؟,INV,"SELECT code
FROM Voucher_Specification
WHERE title LIKE ‘%خرید خارجی%’
","```sql
SELECT * FROM PLANT_REF;
```"
الگوی سند انبار با کد VS_EXP_005 رو میخوام,INV,"SELECT title
FROM Voucher_Specification
WHERE code = ‘VS_EXP_00’
","```sql
SELECT * FROM ""ENERGY"" WHERE ""PLANT_NO"" = 'VS_EXP_005'
```"
جهت سند تو الگوی امانی دیگران نزد ما چی تعریف شده؟,INV,"SELECT direction
FROM Voucher_Specification
WHERE title LIKE ‘%امانی دیگران نزد ما%’
","```sql
SELECT * FROM PLANT WHERE PLANT_TYPE = 'مخفی' AND STATUS IN ('ثبت شده', 'ثبت شده -  بایگانی')
```"
"کدوم الگوها با جهت سند ""هر دو"" تو سیستم تعریف شدن؟",INV,"SELECT title
FROM Voucher_Specification
WHERE direction = ‘هر دو’
","```sql
SELECT * FROM PLANT_VOUCHER WHERE DIRECTION = 'هر دو' AND (TITLE = 'تخفیف' OR TITLE = 'مالیات');
```"
جهت سند برای الگوی VS_EXP_005 چیه؟,INV,"SELECT direction
FROM Voucher_Specification
WHERE Code = ‘VS_EXP_005’
","```sql
SELECT * FROM PLANT WHERE ID = 'VS_EXP_005';
```"
نوع خرید برای الگوی VS_EXP_005 داخلیه یا خارجی؟,INV,"SELECT Purchase_Type
FROM Voucher_Specification
WHERE Code = ‘VS_EXP_005’
","```sql
SELECT INVENTORY_OR_NOT
FROM VOUCHER_TYPE
WHERE INSPECTED = 'YES' AND PART_ID = (SELECT ID FROM PRODUCTION_VOUCHER WHERE DELIVERY_PERSON = 'DARWIN');

```"
الگوهای نوع خرید داخلی رو برام لیست کن,INV,"SELECT title
FROM Voucher_Specification
WHERE purchase_Type = ‘داخلی’
","```sql
SELECT * FROM PLANT WHERE DIRECTION = 'توسط';
```"
"الگوهایی که نوع تاثیر بر موجودیشون ""موقت"" هستن کدومهان؟",INV,"SELECT title
FROM Voucher_Specification
WHERE type_of_effect = ‘موقت’
","```sql
SELECT * FROM VOUCHER_TYPE WHERE ID = 'مقادیر'
```"
"نوع تاثیر بر موجودی ""برگشت به تولید"" چیه؟",INV,"SELECT type_of_effect
FROM voucher_specification
WHERE title LIKE ‘%برگشت به تولید%’
","```sql
SELECT * FROM PLANT_TYPE WHERE TITLE = 'برگشت به تولید';
```"
انواع تاثیر بر موجودی برای الگوها چی ها هستن؟,INV,"SELECT DISTINCT type_of_effect
FROM voucher_specification
","```sql
SELECT * FROM PLANT_REF;
```"
نوع طرف مقابل تعریف شده برای الگوی دریافت ضایعات تولید چی تعریف شده؟,INV,"SELECT counter_Part_Type
FROM voucher_specification
WHERE title ‘%دریافت ضایعات%’
","```sql
SELECT * FROM PLANT WHERE PLANT_ID = (SELECT * FROM VOUCHER_TYPE WHERE PLANT_ID = 'PURCHASE_ORDER_NUMBER')
```"
لیست الگوهایی که طرف مقال اونها شخص-شرکت هستن رو نشون بده ,INV,"SELECT title
FROM voucher_specification
WHERE counter_Part_Type = ‘شخص - شرکت’","```sql
SELECT * FROM UNIT_TYPE WHERE ID = 'OTHER' OR ID = 'UNKNOWN';
```"
انواع طرف مقابل تعریف شده برای الگوهای اسناد انبار چی ها هستن؟,INV,"SELECT DISTINCT counter_Part_Type
FROM voucher_specification
","```sql
SELECT * FROM PLANT_VOUCHER;
```"
الگوهای تحویل دارایی ثابت، چه نوع طرف مقابل هایی دارن؟,INV,"SELECT counter_Part_Type
FROM voucher_specification
WHERE voucher_Type = ‘تحویل دارایی ثابت’
","```sql
SELECT *
FROM PLANT_VOUCHER_TYPE;
```"
"آخرین سند انبار ثبت شده در انبار ""مواد اولیه مصرفی تولید"" مربوط به چه تاریخی هست؟",INV,"SELECT TOP (1) DATE
FROM Voucher
JOIN store ON Inv_Voucher.Store_Id = Store.Id
WHERE store.title LIKE ‘%مواد اولیه مصرفی تولید%’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
ORDER BY DATE DESC
","```sql
SELECT MAX(v.DATE) FROM VOUCHER_VOGHUE v WHERE v.TITLE = 'سند تولید' AND v.QUANTITY = 'سندهای با مقدار ""باید"" در مجموعه ""PRODUCTION""';

```"
"کد سند مربوط به آخرین سند انبار ثبت شده در انبار ""مواد اولیه مصرفی تولید"" چیه؟",INV,"SELECT TOP (1) number
FROM Voucher
JOIN store ON Inv_Voucher.Store_Id = Store.Id
WHERE store.title LIKE ‘%مواد اولیه مصرفی تولید%’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
ORDER BY DATE DESC
","```sql
SELECT * FROM PLANT WHERE ID = (SELECT MAX(ID) FROM PLANT);
```"
وضعیت سند انبار با شماره 540122301 چیه؟,INV,"SELECT STATE
FROM Voucher
WHERE number = ‘540122301’
","```sql
SELECT * FROM VOUCHER_DEFINITION WHERE VOUCHER_ID = 540122301;

```"
"معین مربوط به سند 540122301 تو انبار ""دارایی های ثابت"" چیه؟",INV,"SELECT SL_TITLE
FROM Voucher
JOIN store ON Inv_Voucher.Store_ID = Store.Id
WHERE store.title LIKE ‘%دارایی های ثابت%’
","```sql
SELECT * FROM PLANT WHERE PLANT_ID = '540122301';
```"
شرح سند 540122301 رو میخوام,INV,"SELECT description
FROM voucher
WHERE number = ‘540122301’
","```sql
SELECT * FROM SHOPPING_CART WHERE SHOPPING_CART.ID = '1' AND SHOPPING_CART.QUANTITY = '1' AND SHOPPING_CART.PROJECT_TITLE = '1' AND SHOPPING_CART.DELIVERY_ORGANIZATION = '1';

```"
"کد آخرین سند رسید خرید داخلی به انبار ""مواد اولیه تولید"" چیه؟",INV,"SELECT number
FROM voucher
JOIN store ON Inv_Voucher.Store_id = store.id
JOIN voucher_specification ON voucher_specification.id = Inv_Voucher.voucher_specification_id
WHERE store.title LIKE ‘%مواد اولیه تولید%’
	AND voucher_Specification.title LIKE ‘%رسید خرید%‘
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
","```sql
SELECT SECOND_UNIT_QUANTITY_REF FROM `INVOICE_TYPE` WHERE `DESCRIPTION` = 'مواد اولیه' AND `STATE` = 'ثبت شده';
```"
مرکز هزینه سند 540122301 مربوط به انبار مواد اولیه چیه؟,INV,"SELECT COST_CENTER_TITLE
FROM voucher
JOIN store ON Inv_Voucher.store_id = store.id
WHERE Inv_Voucher.number = ‘540122301’
	AND store.title LIKE ‘%مواد اولیه%’
","```sql
SELECT
    s.TITLE
FROM
    PLANT p, PLANT_REF_TO_VOUCHER s
WHERE
    p.PLANT_ID = '540_TITLE'
```"
اسناد امروز مربوط به انبار مواد اولیه مصرفی که باطل شدن رو میخوام,INV,"SELECT number
FROM voucher
JOIN store ON Inv_Voucher.store_id = store.id
WHERE Inv_Voucher.DATE = CAST(getdate() AS DATE)
	AND store.title LIKE ‘%مواد اولیه%’
	AND Inv_Voucher.STATE = ‘باطل شده’
","```sql
SELECT * FROM PLANT_VOUCHER WHERE STATUS = 'باطل';
```"
